median_income,What.percentage.of.the.store.is.produce.,number of retailers,percent,percent_of_percent_produce
"40,000 - 75,000",0,3,3.191489362,11.11111111
"40,000 - 75,000",<10%,5,5.319148936,12.5
"40,000 - 75,000",25-50%,4,4.255319149,26.66666667
"75,001 - 110,000",0,13,13.82978723,48.14814815
"75,001 - 110,000",<10%,15,15.95744681,37.5
"75,001 - 110,000",10-25%,7,7.446808511,87.5
"75,001 - 110,000",25-50%,6,6.382978723,40
"75,001 - 110,000",>50%,2,2.127659574,50
"110,001 - 145,000",0,8,8.510638298,29.62962963
"110,001 - 145,000",<10%,16,17.0212766,40
"110,001 - 145,000",10-25%,1,1.063829787,12.5
"110,001 - 145,000",25-50%,4,4.255319149,26.66666667
"110,001 - 145,000",>50%,2,2.127659574,50
"145,001 - 180,000",0,3,3.191489362,11.11111111
"145,001 - 180,000",<10%,4,4.255319149,10
"145,001 - 180,000",25-50%,1,1.063829787,6.666666667
